"101","000498.SZ","山东路桥","68.5301","工业","资本货物","建筑与工程","建筑与工程","112013.91"
"102","000501.SZ","鄂武商A","86.6040","可选消费","零售业","多元化零售","百货商店","76899.27"
"103","000502.SZ","绿景控股","14.9741","房地产","房地产","房地产管理和开发","房地产开发",
"104","000503.SZ","国新健康","188.3033","信息技术","软件与服务","互联网软件与服务","互联网软件与服务","89882.22"
"105","000504.SZ","南华生物","42.2806","医疗保健","制药、生物科技与生命科学","生物科技","生物科技","31157.39"
"106","000505.SZ","京粮控股","44.1786","日常消费","食品、饮料与烟草","食品","食品加工与肉类","68579.04"
"107","000506.SZ","中润资源","33.0359","房地产","房地产","房地产管理和开发","房地产开发","92901.78"
"108","000507.SZ","珠海港","63.2264","工业","运输","交通基础设施","海港与服务","78954.09"
"109","000509.SZ","华塑控股","27.2079","工业","资本货物","贸易公司与工业品经销商","贸易公司与工业品经销商","82548.31"
"110","000510.SZ","金路集团","30.8734","材料","材料","化工","基础化工","60918.23"
"111","000513.SZ","丽珠集团","245.3687","医疗保健","制药、生物科技与生命科学","制药","西药","71905.02"
"112","000514.SZ","渝开发","36.7378","房地产","房地产","房地产管理和开发","房地产开发","84377.10"
"113","000516.SZ","国际医学","116.5679","可选消费","零售业","多元化零售","百货商店","197104.94"
"114","000517.SZ","荣安地产","97.6827","房地产","房地产","房地产管理和开发","房地产开发","318392.25"
"115","000518.SZ","四环生物","50.6748","医疗保健","制药、生物科技与生命科学","生物科技","生物科技","102955.62"
"116","000519.SZ","中兵红箭","114.0734","工业","资本货物","航空航天与国防","航天航空与国防","140346.16"
"117","000520.SZ","长航凤凰","35.3015","工业","运输","海运","海运","101208.35"
"118","000521.SZ","长虹美菱","40.9065","可选消费","耐用消费品与服装","家庭耐用消费品","家用电器","104459.79"
"119","000523.SZ","广州浪奇","30.7993","日常消费","家庭与个人用品","家庭用品","家庭用品","62753.31"
"120","000524.SZ","岭南控股","52.2227","可选消费","消费者服务","酒店、餐馆与休闲","酒店、度假村与豪华游轮","67020.86"
"121","000525.SZ","红太阳","89.5203","材料","材料","化工","化肥与农用化工","58077.29"
"122","000526.SZ","紫光学大","22.7694","可选消费","消费者服务","综合消费者服务","教育服务","9619.51"
"123","000528.SZ","柳工","113.5350","工业","资本货物","机械","建筑机械与重型卡车","146281.48"
"124","000529.SZ","广弘控股","37.7479","工业","资本货物","综合类","综合类行业","58379.03"
"125","000530.SZ","大冷股份","35.3981","工业","资本货物","机械","工业机械","85543.41"
"126","000531.SZ","穗恒运A","53.7242","公用事业","公用事业","电力","电力","68508.28"
"127","000532.SZ","华金资本","42.8955","信息技术","技术硬件与设备","电子设备、仪器和元件","电子元件","34470.83"
"128","000533.SZ","顺钠股份","25.0352","可选消费","耐用消费品与服装","家庭耐用消费品","家用电器",
"129","000534.SZ","万泽股份","50.6440","房地产","房地产","房地产管理和开发","房地产开发","49178.51"
"130","000536.SZ","华映科技","115.0116","信息技术","技术硬件与设备","电子设备、仪器和元件","电子元件","276603.28"
"131","000537.SZ","广宇发展","164.5351","房地产","房地产","房地产管理和开发","房地产开发","186252.06"
"132","000538.SZ","云南白药","913.0784","医疗保健","制药、生物科技与生命科学","制药","中药","104139.97"
"133","000539.SZ","粤电力A","237.2078","公用事业","公用事业","电力","电力","525028.38"
"134","000540.SZ","中天金融","350.1226","房地产","房地产","房地产管理和开发","房地产开发","700525.50"
"135","000541.SZ","佛山照明","85.0523","可选消费","耐用消费品与服装","家庭耐用消费品","家用电器","139934.62"
"136","000543.SZ","皖能电力","100.2980","公用事业","公用事业","电力","电力","179039.59"
"137","000544.SZ","中原环保","61.1322","公用事业","公用事业","水务","水务","97468.45"
"138","000545.SZ","金浦钛业","38.6246","材料","材料","化工","基础化工","98683.31"
"139","000546.SZ","金圆股份","73.6227","材料","材料","建材","建材","71464.44"
"140","000547.SZ","航天发展","171.8719","工业","资本货物","航空航天与国防","航天航空与国防","160567.89"
"141","000548.SZ","湖南投资","25.6996","工业","运输","交通基础设施","公路与铁路","49921.58"
"142","000550.SZ","江铃汽车","177.6667","可选消费","汽车与汽车零部件","汽车","汽车制造","86321.40"
"143","000551.SZ","创元科技","27.8936","工业","资本货物","综合类","综合类行业","40008.04"
"144","000552.SZ","靖远煤电","72.7257","能源","能源","石油、天然气与供消费用燃料","煤炭与消费用燃料","228697.11"
"145","000553.SZ","安道麦A","283.4577","材料","材料","化工","化肥与农用化工","244655.36"
"146","000554.SZ","泰山石油","29.3476","能源","能源","石油、天然气与供消费用燃料","石油与天然气的炼制和销售","48079.33"
