date,商业银行,房地产管理和开发,制药,商业服务与用品,机械,综合类,建筑与工程,建材,家庭耐用消费品,休闲设备与用品,饮料,电脑与外围设备,专营零售,纺织品、服装与奢侈品,电力,医疗保健提供商与服务,汽车零配件,电子设备、仪器和元件,媒体,独立电力生产商与能源贸易商,食品,电气设备,石油、天然气与供消费用燃料,金属、非金属与采矿,食品与主要用品零售,通信设备,酒店、餐馆与休闲,交通基础设施,航空,贸易公司与工业品经销商,资本市场,化工,生物科技,燃气,多元金融服务,多元化零售,纸与林木产品,互联网软件与服务,航空航天与国防,海运,家庭用品,综合消费者服务,水务,汽车,信息技术服务,公路与铁路运输,建筑产品,保险,容器与包装,半导体产品与半导体设备,复合型公用事业,专业服务,软件,能源设备与服务,航空货运与物流,互联网与售货目录零售,医疗保健设备与用品,消费品经销商,多元电信服务,个人用品,生命科学工具和服务
19910131,0,0,0.0,-0.4954,0,-0.4864,0,0,-0.4959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.068547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.068554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910204,0,1.0338,0.0,1.4935,0,-0.4888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.068616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910205,0,0.4775,0.0,0.4905,0,-0.4912,0,0,-0.4984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.068675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910206,0,0.4752,0.0,0.4881,0,0.4936,0,0,-0.5009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910207,0,0.473,0.0,0.0,0,0.4912,0,0,0.5034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910208,0,0.4707,0,-0.4857,0,0.4888,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910211,0,1.004,0.0,-0.9762,0,0.4864,0,0,-0.5009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910212,0,-0.1325,0.0,-0.4929,0,0.4841,0,0,-0.5034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19910213,0,1.1944,0.0,-0.4954,0,0.4817,0,0,-0.5059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
